	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
sytm	232	275	169	124	65	99	321	321	191	50	111	69
syvc	418	335	264	197	197	451	1657	1657	315	99	276	136
syvm	174	205	129	104	82	174	308	308	144	37	75	48
sywc	2218	1004	1175	913	219	428	1231	1231	414	164	451	249
syyc	586	557	404	151	63	138	875	875	709	189	522	180
szrd1	1012	973	547	526	162	372	871	871	918	286	604	290
szt2	573	821	599	418	167	211	377	377	412	87	213	127
t106a	160	152	53	126	96	94	265	265	294	111	241	132
t106b	247	351	370	185	45	148	698	698	248	121	309	99
t11l2	912	1198	1210	687	199	423	1421	1421	1041	300	1083	308
t120a	64	75	45	39	32	61	84	84	205	58	135	50
t120b	208	259	141	120	45	60	260	260	62	16	45	18
t126a	40	72	61	17	13	25	101	101	68	32	68	17
t126b	158	234	251	83	29	84	308	308	207	86	126	59
t131l	1757	2340	1644	1179	430	510	1244	1244	1803	493	733	530
t161a	63	99	58	45	251	206	251	251	114	54	46	37
t161b	501	891	768	352	70	114	346	346	308	83	224	88
t176b	787	645	761	351	47	103	252	252	15472	6523	15499	5677
t184b	91	83	62	56	85	171	357	357	191	72	153	85
t184c	566	775	644	450	147	290	1251	1251	595	240	473	189
t185a	163	203	153	94	80	122	221	221	681	252	512	222
t194a	87	84	44	52	59	174	1100	1100	103	23	39	31
t194b	52	58	27	36	20	24	202	202	28	4	15	10
t22d1	1949	2775	3125	1568	390	707	2207	2207	4458	1480	3564	1247
t22d3	4410	10262	4171	3313	1010	2020	2637	2637	6319	2762	2782	1642
t22d4	851	700	484	356	125	320	908	908	549	178	307	164
t2ea	240	296	136	165	33	60	276	276	182	51	102	71
t2eb	498	567	263	246	62	112	532	532	539	204	364	187
t2fa	826	998	739	591	148	217	616	616	449	126	233	136
t2fb	375	636	432	265	84	183	959	959	544	211	342	202
t30a2	122	155	21	79	15	41	206	206	309	101	178	80
t3jam	988	1128	510	846	175	231	357	357	525	163	237	138
t53i1	3177	6552	8536	2329	373	816	2653	2653	4244	1462	2224	1202
t53i2	84	79	240	48	34	49	256	256	173	59	84	58
tab1	212	253	136	88	59	156	430	430	139	51	154	55
tab2	1206	1665	1335	804	254	386	1361	1361	2068	601	907	577
tab3	83	88	65	50	177	447	3069	3069	68	9	51	34
tacc1	92	94	38	57	35	55	760	760	158	30	180	88
tacc3	820	840	631	450	292	487	2936	2936	814	265	382	236
tad2a	375	581	416	313	51	94	266	266	638	232	395	166
tad2b	90	71	72	48	17	61	236	236	191	79	130	72
tada1	530	973	586	478	108	173	483	483	609	194	369	200
tada3	494	452	205	246	197	400	739	739	4068	1445	2800	1483
tadbp	1279	1553	737	1166	662	1083	3386	3386	899	158	480	279
taf1	256	340	158	268	134	233	1136	1136	389	92	362	151
taf11	376	604	606	328	119	211	603	603	444	129	293	101
taf1b	199	284	170	209	42	75	364	364	161	52	111	45
taf1c	105	129	72	61	147	98	138	138	305	107	138	91
taf1d	545	865	388	542	94	150	558	558	456	86	177	96
taf2	360	514	352	346	53	85	668	668	1156	333	636	303
taf3	226	272	166	132	74	123	537	537	285	86	174	90
taf4	426	516	477	257	141	287	900	900	451	142	204	114
taf5	175	359	167	182	62	94	390	390	189	55	106	53
taf5l	148	141	128	94	128	213	721	721	316	111	230	111
taf6	97	76	34	44	42	78	209	209	106	29	50	25
taf6l	141	160	82	104	33	54	159	159	69	18	67	19
taf7	814	1362	603	719	158	297	1526	1526	795	277	453	266
taf8	398	390	233	213	26	45	92	92	220	57	119	66
taf9	682	1000	661	379	101	185	1601	1601	1161	424	908	386
taf9b	80	82	29	59	11	37	283	283	575	189	333	142
tagap	790	916	267	480	180	219	304	304	345	83	135	104
tal1	71	29	19	13	183	610	6611	6611	42	12	69	16
tald3	268	246	158	165	69	139	726	726	629	213	357	196
tanc1	91	89	123	61	61	77	183	183	456	152	355	142
tanc2	29	51	31	29	46	52	158	158	22	3	27	15
tank	992	1730	724	835	139	216	1162	1162	1037	419	884	382
taok1	201	367	186	256	182	265	1460	1460	647	173	451	225
taok2	464	551	245	270	203	247	534	534	663	178	382	179
taok3	622	684	451	579	119	155	715	715	466	147	303	175
tap1	4100	1343	1564	1285	77	166	263	263	1151	212	619	298
tap2	2025	914	913	614	370	680	1139	1139	1153	392	783	386
tap26	321	642	684	302	137	227	1029	1029	468	207	461	174
tapt1	339	513	500	261	139	219	822	822	464	128	358	174
tara	278	259	123	169	85	182	427	427	391	119	266	164
tarb1	177	172	121	93	134	187	205	205	129	41	91	49
tarsh	49	74	32	17	39	41	75	75	54	15	17	11
tasp1	428	1042	974	451	30	45	119	119	259	68	146	56
tatd2	688	618	458	267	145	265	839	839	121	37	66	67
taxb1	2976	4124	3632	2583	353	777	4921	4921	3915	1414	2904	1199
taz	138	145	89	90	47	89	191	191	74	28	73	39
tb10a	575	633	395	261	188	236	270	270	522	181	283	102
tb10c	968	1182	346	426	605	417	329	329	634	170	264	141
tb182	129	120	75	65	127	277	1102	1102	382	98	354	92
tb22a	316	347	262	183	79	144	346	346	227	71	247	83
tb22b	78	73	43	43	31	62	174	174	86	20	26	18
tba1b	7989	5935	3981	4511	1918	6086	31090	31090	13288	4986	7641	3492
tbb5	1388	1102	430	867	1977	5354	36867	36867	7467	2200	3154	1929
tbc12	29	31	22	22	61	99	373	373	186	50	214	53
tbc13	115	82	52	49	310	514	1246	1246	677	174	425	181
tbc14	863	925	656	417	259	522	2186	2186	362	98	215	96
tbc15	1113	1954	1232	947	314	432	2861	2861	1539	515	1147	512
tbc17	368	342	301	200	341	361	715	715	659	194	413	166
tbc19	193	283	216	141	42	60	252	252	118	60	114	64
tbc20	569	605	612	228	199	392	1179	1179	858	277	689	342
tbc23	593	739	497	460	203	311	1599	1599	1593	545	1033	479
tbc25	106	141	111	77	28	56	97	97	139	34	56	33
tbc8b	34	77	45	41	44	86	391	391	142	24	134	27
tbc9b	397	364	248	236	121	237	537	537	1065	271	806	363
tbcb	387	345	325	249	104	207	402	402	945	412	560	317
tbcc1	342	493	180	232	19	26	206	206	186	58	123	50
tbcd	285	274	136	167	143	239	702	702	748	250	430	209
tbcd1	986	1101	992	692	119	185	625	625	1059	366	557	392
tbcd4	479	362	278	247	490	667	2115	2115	4159	1196	1986	1197
tbcd5	797	1139	467	575	587	821	2108	2108	730	263	441	236
tbcd8	523	551	396	339	60	103	252	252	505	229	405	249
tbcd9	685	764	481	496	220	302	528	528	456	112	206	200
tbce	45	88	77	35	224	259	702	702	183	55	129	54
tbcel	155	166	114	125	34	112	960	960	574	183	382	204
tbck	584	691	567	342	98	132	410	410	313	111	265	112
tbd2b	185	125	56	126	188	255	479	479	1057	276	676	365
tbe	192	348	72	197	28	24	128	128	114	50	114	41
tbg1	175	155	100	94	50	128	498	498	387	115	195	99
tbk1	1193	1468	1012	950	190	269	1095	1095	1073	336	715	361
tbkb1	43	78	66	34	103	61	74	74	474	135	286	119
tbl1r	3974	6340	3418	3032	76	111	754	754	3860	1237	2610	1156
tbl2	136	198	111	114	73	141	482	482	300	111	252	106
tbl3	247	284	189	145	82	110	279	279	234	71	136	87
tbp	182	272	142	150	79	91	390	390	300	87	165	131
tbpl1	282	400	545	193	12	30	109	109	318	85	179	89
tbrg1	150	210	163	109	128	202	568	568	527	148	265	145
tbrg4	473	483	512	259	288	404	1383	1383	570	182	336	175
tcb	187	258	51	138	148	201	237	237	49	17	6	20
tcea1	2303	5051	2428	1859	316	556	4659	4659	1770	579	939	514
tcea2	66	74	60	43	40	27	31	31	17	8	10	12
tcf19	111	79	70	31	121	426	2176	2176	445	136	111	93
tcf20	189	184	51	117	79	129	439	439	194	48	110	74
tcf25	609	582	485	353	197	293	1008	1008	1002	294	576	317
tcf7	120	93	24	78	743	719	740	740	77	27	48	25
tchp	194	214	197	135	19	40	181	181	223	50	84	62
tco2	217	385	240	146	102	312	636	636	1141	378	853	365
tcof	255	249	176	140	230	291	713	713	223	76	120	69
tcpa	1476	1840	1728	1130	455	795	3863	3863	1917	587	1308	742
tcpb	4939	8364	4525	4464	580	1033	5629	5629	4823	2010	4130	1570
tcpd	3357	5696	3247	2871	661	1298	5100	5100	3386	1252	2193	1086
tcpe	1625	1716	1851	1324	446	962	4203	4203	3022	1069	1697	1207
tcpg	2581	3570	2649	2398	752	1285	6129	6129	4781	1774	2993	1675
tcph	2197	2524	1878	1606	433	852	4077	4077	2780	1060	1925	1043
tcpq	4723	7729	5076	4659	582	1053	5110	5110	3435	1326	1903	1274
tcpr1	257	210	221	133	161	190	213	213	253	84	233	85
tcpr2	177	186	83	115	36	69	196	196	121	32	106	37
tcpz	1373	1896	1324	1314	662	1230	6948	6948	3062	1063	2096	1058
tcrg1	919	1297	1367	704	295	407	1531	1531	972	273	512	230
tdg	151	195	111	164	37	70	510	510	151	30	91	58
tdif2	1246	1952	1491	1120	260	390	1997	1997	1936	704	1756	745
tdrd3	257	337	224	161	65	91	345	345	314	111	224	87
tdrd7	749	628	729	427	41	58	334	334	381	152	310	142
tead2	352	394	276	178	274	284	388	388	1769	658	581	523
tean2	178	282	118	168	38	66	271	271	87	48	41	38
teanc	28	29	1	12	43	49	270	270	163	41	124	58
tebp	2058	2352	2002	1427	689	1582	7125	7125	2207	781	1725	813
tec	99	245	99	103	81	65	147	147	354	88	120	108
tect2	20	25	13	20	11	20	24	24	103	42	83	35
tect3	66	88	49	53	54	48	163	163	96	25	54	27
tefm	43	82	20	51	33	41	214	214	86	30	72	35
telo2	88	106	30	50	100	124	189	189	215	86	174	79
tenc1	173	292	459	124	464	505	569	569	634	161	496	247
tens1	194	289	234	138	53	117	439	439	412	50	461	169
tens3	224	194	234	134	288	469	1422	1422	769	124	782	343
tenx	203	176	99	90	184	232	287	287	68	15	77	22
tep1	185	183	125	132	150	243	679	679	240	51	237	114
tera	3429	3463	2621	1937	771	1480	5556	5556	3617	1283	2702	1676
terf1	453	713	349	415	85	292	2070	2070	728	224	559	182
terf2	228	232	109	118	70	110	458	458	455	154	200	153
tes	1684	2253	1133	1176	167	274	618	618	1092	469	637	343
tesk1	304	592	175	129	223	320	662	662	229	78	122	58
tesk2	54	51	44	34	162	181	313	313	548	169	290	177
tesp1	288	371	72	231	78	64	116	116	192	50	53	39
tet2	61	45	45	71	20	47	136	136	153	35	90	78
tet3	115	168	57	102	20	24	173	173	30	3	16	13
tex10	266	305	191	238	65	128	493	493	105	37	96	36
tex2	489	546	493	387	213	412	1889	1889	945	360	699	397
tex30	249	423	244	212	179	228	1028	1028	296	96	199	80
tf2aa	522	640	261	361	407	711	4921	4921	187	50	116	73
tf2b	1624	2508	2110	1111	133	212	1413	1413	1912	833	1516	607
tf2h1	398	672	323	384	139	217	954	954	983	310	632	372
tf2h3	101	169	98	102	30	62	335	335	584	167	370	156
tf2h4	72	67	31	36	22	41	101	101	64	32	48	22
tf3a	139	171	139	89	91	172	550	550	525	169	373	160
tf3b	203	236	254	104	235	309	938	938	239	42	140	63
tf3c1	826	908	491	633	210	317	829	829	666	148	411	223
tf3c2	830	1238	489	671	301	466	1669	1669	1100	318	757	369
tf3c3	528	658	677	473	192	367	1454	1454	418	136	359	145
tf3c4	112	100	143	67	69	117	466	466	513	122	304	172
tf3c5	87	101	75	69	54	108	438	438	265	72	157	59
tf65	826	934	695	417	162	253	622	622	767	257	421	266
tf7l2	214	219	280	191	11	25	60	60	373	102	303	145
tfam	395	613	354	370	219	400	2032	2032	1423	470	912	431
tfap4	185	220	198	102	34	63	146	146	105	26	55	32
tfb2m	203	261	175	136	274	488	2153	2153	497	138	347	131
tfdp1	1035	960	844	554	169	346	2408	2408	952	308	488	301
tfe2	451	459	194	215	161	312	1296	1296	490	113	240	105
tfe3	386	466	327	240	291	294	368	368	85	18	57	29
tfeb	214	194	125	103	253	278	373	373	385	119	216	111
tfec	58	35	37	49	22	43	138	138	520	180	336	134
tfg	586	740	649	383	214	382	1473	1473	1097	408	777	392
tfp11	478	490	292	244	134	218	577	577	390	110	267	104
tfpi1	381	812	995	524	67	113	581	581	1339	578	1525	410
tfr1	1736	1636	1362	1109	1088	3200	49349	49349	1145	260	936	340
tgbr3	552	1143	2812	363	273	536	1627	1627	370	67	423	140
tgds	23	26	6	16	123	137	364	364	198	71	141	45
tgfa1	129	128	60	57	110	176	581	581	185	35	114	60
tgfb1	433	307	142	195	218	400	601	601	411	137	278	103
tgfi1	29	38	50	17	32	69	162	162	142	54	108	41
tgfr1	86	99	49	97	9	11	95	95	396	100	290	177
tgfr2	1480	2063	1370	1059	407	845	2276	2276	2278	658	1839	803
tgif1	218	279	315	138	53	129	272	272	222	46	132	61
tgm2	218	241	89	103	33	62	154	154	2366	796	2985	944
tgon3	743	661	349	539	216	330	1386	1386	621	100	472	262
tgs1	248	224	152	155	135	236	1249	1249	1111	444	894	420
tgt	67	81	39	26	21	40	113	113	160	56	119	51
tha	77	77	75	38	35	72	234	234	200	42	178	64
tha11	253	318	136	153	65	133	345	345	142	59	98	62
thada	143	174	58	127	25	28	109	109	239	50	204	140
thap1	222	410	130	163	48	82	461	461	253	92	164	80
thap2	41	52	31	29	25	40	220	220	70	16	46	17
thap4	355	317	266	185	27	80	261	261	84	29	41	18
thap5	123	156	22	85	28	52	160	160	77	34	86	44
thas	138	88	151	113	61	126	200	200	1166	480	957	577
thikb	322	421	216	227	104	37	38	38	109	36	107	30
thil	705	626	856	328	217	445	1959	1959	941	347	562	278
thim	498	590	451	301	137	382	1070	1070	494	145	291	128
thms1	74	88	15	65	27	20	84	84	97	35	22	26
thms2	1051	579	534	363	131	139	212	212	2359	848	1387	940
thoc1	369	731	254	342	385	595	2295	2295	1786	590	1186	515
thoc2	622	818	413	618	100	108	1001	1001	919	229	684	375
thoc3	245	191	92	128	48	166	348	348	259	86	235	97
thoc5	275	196	94	165	98	200	808	808	698	238	479	267
thoc6	145	143	90	91	54	100	372	372	328	139	214	99
thop1	520	398	257	297	220	502	1413	1413	720	249	384	157
thtm	212	198	110	102	80	155	462	462	361	105	199	93
thum1	387	699	338	288	93	116	944	944	1004	386	681	291
thum2	174	282	412	146	39	56	186	186	329	96	222	99
thum3	903	1587	1061	782	230	370	2109	2109	396	178	306	189
thyn1	150	306	173	175	32	50	252	252	83	19	54	9
tia1	668	1049	365	573	261	416	1317	1317	726	237	447	194
tiam1	104	98	68	86	27	24	276	276	154	34	86	44
tiar	824	1140	1271	622	554	640	1529	1529	971	321	565	291
ticn2	763	1122	658	500	88	104	204	204	858	312	394	235
tidc1	115	215	216	102	118	225	546	546	671	281	454	252
tie1	119	273	401	132	42	86	225	225	833	316	670	268
tie2	166	247	340	143	84	173	530	530	1285	483	1441	575
tif1a	473	605	621	350	301	318	792	792	602	196	336	168
tif1b	911	836	468	460	358	707	1877	1877	1122	338	531	377
tigd1	199	391	359	197	5	11	40	40	415	148	382	109
tigd2	373	482	309	281	406	508	657	657	228	59	121	78
tim	171	118	62	91	112	176	681	681	60	12	20	13
tim21	417	536	483	241	183	363	1660	1660	959	287	534	210
tim44	441	551	351	295	156	243	831	831	212	88	166	66
tim50	540	541	413	271	123	213	735	735	308	113	284	108
timp2	405	742	1009	255	328	559	1069	1069	1207	376	1040	411
timp3	557	1168	2609	343	397	1077	1830	1830	2987	1584	4151	2278
tinf2	750	1011	514	589	59	119	248	248	75	16	92	32
tip	351	428	341	244	145	301	961	961	1343	508	1115	471
tiprl	199	246	182	135	161	269	1258	1258	1123	404	797	352
tjap1	144	117	62	63	76	74	86	86	82	32	43	22
tkt	2362	2211	1757	1819	442	1414	5475	5475	2130	791	1412	900
tle3	231	178	28	106	165	201	219	219	271	58	95	65
tle4	209	190	114	121	157	198	514	514	119	26	76	41
tlk1	1520	2676	2696	994	304	464	2532	2532	1370	384	805	453
tlk2	372	541	394	282	109	210	861	861	708	237	405	229
tln1	3062	2646	1541	1917	1119	1976	6727	6727	6429	1602	3909	2195
tlr10	1641	3025	562	1474	84	123	436	436	444	92	254	116
tlr2	610	1077	308	632	50	157	286	286	642	282	916	511
tlr3	1189	628	513	604	8	28	88	88	79	23	79	26
tlr4	658	611	595	678	194	309	975	975	848	247	522	281
tlr6	452	718	462	379	142	206	722	722	229	99	179	86
tlr7	449	370	99	246	181	330	752	752	3349	1214	2954	1333
tlr8	1250	886	502	1029	254	740	2790	2790	5281	1846	4097	1840
tlr9	421	429	154	258	41	79	96	96	394	93	277	170
tm101	29	34	25	21	52	89	198	198	61	11	25	13
tm102	67	57	16	27	157	122	107	107	24	9	12	13
tm104	33	26	11	24	14	34	117	117	229	82	185	96
tm109	735	718	616	425	118	271	713	713	273	65	174	71
tm10a	49	51	18	37	11	13	115	115	39	18	48	23
tm10b	40	39	50	19	19	16	64	64	88	22	59	32
tm115	350	407	235	207	86	154	412	412	251	81	201	79
tm129	228	194	134	102	54	104	290	290	411	123	244	119
tm131	1670	2237	1770	963	244	483	2819	2819	1280	371	960	556
tm135	315	401	249	239	74	124	627	627	537	190	434	213
tm140	635	318	379	184	193	365	586	586	1508	569	887	465
tm144	84	88	71	81	19	34	154	154	37	28	56	23
tm14c	1077	1117	959	736	884	2221	13427	13427	1877	862	1482	600
tm154	210	249	50	199	28	44	185	185	14	4	10	10
tm159	18	9	22	10	17	39	149	149	142	59	120	50
tm165	683	780	708	372	144	342	1769	1769	1049	361	634	312
tm168	874	1303	828	695	103	173	785	785	772	271	795	303
tm175	423	624	607	326	265	220	343	343	125	38	75	35
tm177	119	136	52	78	36	54	120	120	60	20	46	27
tm180	61	61	59	46	43	62	48	48	41	16	26	8
tm181	76	75	46	53	21	23	142	142	84	22	65	38
tm183	279	289	329	178	118	226	1140	1140	577	214	340	178
tm189	415	498	251	212	136	245	546	546	155	64	133	53
tm1l1	33	32	30	24	172	350	2327	2327	82	25	64	26
tm1l2	140	196	151	111	84	157	357	357	175	45	169	79
tm201	74	72	37	34	22	51	162	162	51	8	33	16
tm203	424	483	491	209	96	201	587	587	317	128	248	86
tm204	138	203	127	107	33	71	154	154	236	103	274	99
tm206	505	809	433	302	410	323	769	769	692	204	498	261
tm209	173	227	80	124	49	81	482	482	184	57	146	68
tm214	326	421	391	212	179	214	552	552	430	136	396	152
tm230	335	414	182	245	68	120	745	745	656	233	495	220
tm237	41	28	43	31	9	16	47	47	193	89	230	91
tm241	37	33	19	15	7	14	26	26	35	6	23	18
tm243	210	454	264	140	37	47	107	107	48	11	11	8
tm245	33	35	24	17	74	162	798	798	189	42	98	57
tm248	463	354	391	310	142	291	927	927	521	199	380	187
tm260	362	551	334	305	64	122	396	396	351	123	248	114
tm39a	233	309	336	166	38	55	190	190	275	96	182	88
tm39b	57	91	62	47	78	122	184	184	195	77	104	56
tm40l	140	160	88	86	29	44	176	176	322	106	288	113
tm41a	65	79	59	64	23	49	97	97	121	65	92	36
tm41b	527	888	550	432	120	179	914	914	75	22	90	27
tm55a	71	61	74	46	47	95	330	330	740	312	444	160
tm63a	236	278	126	132	129	115	217	217	412	158	215	168
tm63b	42	48	27	31	83	81	338	338	162	41	95	52
tm6s1	222	163	223	206	150	352	1266	1266	521	191	565	168
tm7s3	218	275	273	153	213	385	1217	1217	43	10	28	15
tm86a	66	69	45	64	17	58	149	149	120	53	105	55
tm87a	1241	1848	1728	1053	379	396	1096	1096	1846	612	1293	565
tm87b	404	433	545	267	142	192	636	636	347	121	290	157
tm9s1	652	728	361	389	68	160	478	478	698	294	606	248
tm9s2	1329	1813	1494	1091	301	739	2882	2882	2580	1028	2229	950
tm9s3	1226	1729	953	1036	427	909	4368	4368	3461	1120	2720	1098
tm9s4	280	307	127	194	35	88	345	345	1185	370	950	492
tmc6	1957	2917	1812	1318	512	434	537	537	470	133	196	98
tmc8	471	548	200	231	236	300	785	785	200	61	54	22
tmcc3	552	682	414	400	120	206	427	427	712	191	635	358
tmco3	371	460	311	214	120	348	1898	1898	389	129	207	128
tmco4	132	69	54	84	57	88	188	188	298	119	199	109
tmco6	82	54	35	30	188	350	1618	1618	1148	539	807	379
tmed4	425	635	431	305	73	123	554	554	841	289	704	333
tmed5	48	32	29	32	65	165	969	969	228	71	238	103
tmed7	1423	1209	1393	610	157	253	952	952	486	151	346	183
tmed8	50	66	38	53	541	811	3187	3187	277	77	210	162
tmed9	910	795	716	405	356	782	2059	2059	1115	362	835	407
tmeda	1564	1776	2033	1123	260	480	2476	2476	1607	634	1405	661
tmem2	210	169	153	168	72	101	339	339	374	119	252	159
tmem5	509	622	507	349	82	132	369	369	917	390	581	338
tmem9	184	211	199	93	45	78	109	109	344	119	286	132
tmf1	306	530	465	250	131	219	1414	1414	830	276	508	204
tmlh	183	265	158	147	88	119	884	884	256	102	183	71
tmm11	247	285	212	108	86	129	525	525	80	21	71	39
tmm19	87	102	34	40	80	113	453	453	498	200	285	136
tmm33	84	79	62	63	186	396	1869	1869	183	48	212	69
tmm43	213	240	289	168	99	162	391	391	553	157	422	197
tmm52	21	45	24	13	126	103	203	203	32	6	33	10
tmm59	1303	2149	1561	970	273	587	1889	1889	1801	748	1726	720
tmm62	338	573	308	248	82	80	117	117	410	196	235	180
tmm64	430	608	379	325	186	414	1423	1423	723	288	435	166
tmm65	217	332	228	254	117	186	458	458	966	259	413	260
tmm8a	93	102	119	56	38	45	156	156	227	73	73	68
tmm98	42	94	53	27	15	29	118	118	75	22	54	26
tmod3	287	290	122	222	63	84	630	630	201	55	201	70
tmtc3	86	124	93	125	114	160	1133	1133	460	104	329	152
tmtc4	154	144	91	100	56	84	151	151	161	69	76	28
tmub2	144	149	100	109	40	68	223	223	177	56	138	59
tmx1	467	472	454	286	182	477	2417	2417	860	282	579	283
tmx3	1073	1597	1132	1226	47	78	463	463	477	126	404	209
tnap2	321	246	142	213	92	149	234	234	416	160	392	187
tnap3	949	1047	744	596	65	106	180	180	645	249	601	342
tnc18	237	238	176	159	169	207	697	697	332	89	202	142
tnf13	52	79	157	62	20	20	34	34	176	61	145	46
tnfc	557	689	256	394	166	422	180	180	240	85	129	61
tnfl8	57	22	2	22	15	13	46	46	104	22	55	47
tng2	278	561	685	181	207	272	957	957	358	101	176	94
tng6	125	103	50	104	135	384	2850	2850	221	93	118	87
tnik	580	471	199	376	41	69	169	169	449	118	187	163
tnip1	935	731	375	502	410	590	1058	1058	1111	318	845	451
tnip2	123	127	73	66	28	32	49	49	76	25	45	29
tnks1	125	183	118	154	58	69	296	296	381	95	263	121
tnks2	334	474	182	332	84	92	690	690	1014	295	905	408
tnpo1	742	1007	429	738	478	885	4225	4225	1510	486	1061	572
tnpo2	631	859	606	382	383	458	1235	1235	505	136	288	148
tnpo3	662	742	461	460	238	454	1714	1714	751	213	504	268
tnr16	86	129	122	89	37	86	232	232	388	105	362	144
tnr1a	195	116	118	100	127	225	376	376	553	202	486	244
tnr1b	1562	771	743	1124	283	660	881	881	1535	619	1309	651
tnr21	436	303	317	317	132	203	720	720	1783	654	1017	561
tnr25	75	97	20	52	38	25	16	16	45	38	15	9
tnr4	43	42	14	33	14	17	12	12	73	40	25	26
tnr5	509	465	131	221	288	421	324	324	415	109	156	108
tnr6	389	389	179	204	120	166	427	427	1344	392	893	524
tnr6a	169	156	109	122	62	72	360	360	292	63	173	98
tnr6b	65	69	31	56	59	129	694	694	243	65	146	75
tnr6c	228	268	96	154	82	113	739	739	258	51	128	113
toip1	1918	2569	1497	1481	268	461	1918	1918	1102	348	830	417
toip2	64	51	29	52	13	19	321	321	355	110	269	127
tom1	117	247	134	85	118	142	263	263	215	65	114	83
tom34	834	836	655	450	305	462	1161	1161	249	73	126	85
tom70	1063	1465	804	738	205	318	2102	2102	702	277	601	248
tonsl	85	49	33	30	528	694	2657	2657	103	31	48	27
top1	2050	2453	1449	1370	379	858	4570	4570	2363	799	1251	716
top2a	3956	7056	3849	2933	458	1065	14458	14458	5278	1628	1064	716
top2b	4352	5554	3789	3204	684	1220	6528	6528	4004	1451	2333	1272
top3a	319	397	141	245	71	122	550	550	218	57	105	60
top3b	163	129	99	73	73	124	410	410	200	54	117	70
topb1	583	566	473	284	263	569	3232	3232	825	250	362	239
topk	336	503	170	208	88	164	1298	1298	2019	789	295	165
toprs	997	1472	1662	731	175	302	1371	1371	1196	430	789	410
tor1b	338	177	100	83	26	75	256	256	287	72	194	87
tor3a	829	729	454	483	130	121	291	291	1269	411	1037	664
tor4a	58	43	26	15	48	80	103	103	59	20	71	23
tox4	597	633	291	463	198	284	1023	1023	869	345	527	338
tp4a1	1448	1798	2425	979	315	553	2786	2786	2256	792	1853	873
tp4a2	3348	4947	4313	2357	386	660	5669	5669	5936	2239	4966	2343
tp4ap	643	799	589	388	339	555	1611	1611	834	245	567	242
tp53b	282	360	149	206	71	88	235	235	291	91	221	105
tp8l3	301	252	197	206	141	213	478	478	377	165	348	143
tpa	46	111	74	53	24	88	322	322	406	178	291	130
tpc1	375	536	334	238	363	451	1092	1092	686	207	365	166
tpc10	514	655	556	346	307	444	1286	1286	407	119	247	136
tpc11	790	1289	942	746	186	323	1643	1643	401	105	305	154
tpc12	295	252	142	115	121	189	422	422	596	153	423	211
tpc13	550	796	587	376	191	201	573	573	813	243	553	231
tpc2	66	89	46	46	128	212	380	380	268	77	226	82
tpc2l	15	21	20	11	22	24	112	112	349	101	250	93
tpc6b	719	1154	1094	512	96	165	798	798	292	130	206	63
tpd54	736	1022	889	540	191	308	1165	1165	971	293	689	352
tpm2	144	138	231	144	83	105	185	185	926	490	672	393
tpm3	6600	6203	5636	4254	1348	1848	7081	7081	2145	610	1158	597
tpm4	1732	2012	1165	1382	611	885	2597	2597	4898	1614	3939	1703
tpp1	448	521	528	522	156	233	1192	1192	1685	621	848	561
tpp2	949	1226	891	652	178	322	1324	1324	1144	307	611	379
tppc1	296	361	235	183	85	157	499	499	275	97	160	66
tppc2	135	216	95	98	14	11	32	32	811	267	441	294
tppc4	218	337	135	163	19	38	146	146	232	91	174	93
tppc8	961	1520	918	667	258	419	2001	2001	1333	461	1122	468
tppc9	189	184	101	79	230	345	751	751	325	84	238	78
tpr	3057	4331	2829	2694	612	1031	5849	5849	1657	368	935	528
tpsn	2291	1586	1068	1005	280	754	1682	1682	1395	349	1168	410
tpst2	576	615	423	372	111	196	596	596	344	134	279	109
tpx2	646	792	540	433	160	447	4928	4928	1339	496	283	139
tr11b	58	74	339	32	7	84	409	409	97	18	58	35
tr150	1831	1978	1250	1211	529	838	4215	4215	4075	1282	2233	1274
tr19l	253	246	84	127	43	92	643	643	258	88	184	92
tr22	1594	3147	1158	2285	63	84	189	189	428	127	333	221
tr30a	750	617	260	428	16	21	39	39	354	61	132	71
tra2a	1483	2980	1111	1384	223	284	899	899	1049	269	506	263
tra2b	343	414	346	232	748	1150	4534	4534	4762	1572	2630	1266
trabd	309	377	257	170	105	144	293	293	405	132	303	144
trad1	2769	2436	1744	1493	196	328	736	736	1044	335	670	345
tradd	456	580	415	264	197	233	586	586	179	52	154	77
traf1	681	403	201	318	89	113	148	148	739	273	335	216
traf2	358	404	206	267	33	41	85	85	244	77	151	74
traf3	767	792	595	453	93	153	386	386	248	56	125	91
traf4	437	766	512	327	264	311	1340	1340	334	90	109	60
traf5	109	148	117	69	9	19	35	35	173	47	85	47
traf6	149	120	253	81	69	103	529	529	121	31	91	64
traf7	680	620	383	323	292	431	775	775	1800	691	1750	769
traip	49	50	31	27	7	28	163	163	36	17	11	9
trak1	80	83	55	51	38	84	215	215	244	62	143	88
trak2	400	310	248	237	649	1993	19118	19118	597	169	493	175
tram1	3278	5119	5232	2133	607	1080	4350	4350	4870	1771	4139	1721
trap1	229	262	96	140	224	426	1371	1371	716	205	461	212
trbc1	612	554	231	408	165	190	229	229	705	217	213	169
trbm	39	71	81	37	33	94	461	461	88	23	99	45
trbp2	269	316	213	150	118	155	293	293	363	154	216	89
tref1	220	179	91	169	21	30	48	48	186	53	84	58
