	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
ampb	275	244	162	123	85	118	246	246	547	205	303	181
ampd2	553	712	455	394	193	165	307	307	320	76	204	115
ampe	71	384	249	92	69	208	447	447	636	164	703	138
ampl	1075	988	742	688	238	445	1328	1328	744	243	613	259
ampm1	826	866	834	542	40	61	273	273	500	140	290	158
ampo	492	778	1170	348	20	32	187	187	142	42	97	42
amra1	333	340	327	242	107	188	484	484	412	113	245	116
amz2	183	255	111	132	23	32	209	209	239	72	131	59
an13a	837	823	995	419	270	343	1307	1307	2039	553	998	595
an13c	90	102	73	70	54	83	407	407	407	145	282	147
an13d	182	236	89	116	76	95	229	229	262	73	135	64
an32e	828	1002	469	709	9	37	394	394	1597	504	949	526
anag	270	253	199	137	113	142	285	285	419	145	311	164
anc2	390	348	196	192	83	141	349	349	117	37	50	44
anfy1	210	210	130	161	69	80	600	600	625	178	454	239
ange1	85	71	21	47	106	153	562	562	182	43	123	76
ange2	54	73	40	51	41	33	220	220	139	39	91	38
angl1	15	93	57	24	21	36	53	53	94	15	136	21
angl2	186	267	377	100	123	210	413	413	354	283	455	242
angl4	20	80	154	9	6	177	80	80	200	49	167	53
angp1	91	116	194	69	50	106	563	563	182	127	294	118
angt	55	133	84	55	107	501	671	671	89	4	13	13
ank1	53	8	12	10	116	446	5661	5661	72	6	88	20
ankh	202	385	184	184	135	292	993	993	258	70	148	69
ankh1	775	983	540	622	395	560	2185	2185	1019	289	637	412
ankl2	441	540	372	399	35	68	409	409	346	83	244	139
anks3	39	52	32	15	259	275	411	411	90	39	59	43
anky2	530	861	271	447	66	96	593	593	1180	390	639	348
ankz1	111	157	169	89	131	132	398	398	165	42	111	47
anln	120	149	81	109	46	170	2130	2130	436	124	54	51
anm1	977	1228	635	652	182	331	1334	1334	1576	650	954	524
anm10	305	399	249	219	45	72	218	218	141	31	71	49
anm3	532	849	455	451	59	74	483	483	612	206	424	198
anm5	418	455	238	249	99	173	788	788	533	186	331	231
anm6	69	71	19	36	8	11	44	44	41	19	30	19
anm7	315	352	246	245	177	168	486	486	275	87	202	117
ano1	251	420	296	112	23	31	65	65	225	118	197	85
ano10	139	123	89	60	116	196	386	386	113	28	73	34
ano6	873	1142	1287	595	53	123	561	561	553	143	365	268
ano8	45	48	32	26	60	61	136	136	92	19	56	24
anpra	16	38	35	8	31	28	52	52	244	86	185	101
anprb	206	290	269	157	100	122	184	184	409	136	304	140
anr10	1196	1912	1314	898	1170	959	1229	1229	863	256	435	180
anr11	946	1234	1385	641	419	600	1484	1484	912	212	556	420
anr12	1506	2800	1455	1268	202	342	1261	1261	1689	422	939	549
anr16	168	219	158	112	237	193	353	353	33	16	30	10
anr17	910	1155	1141	654	231	371	1782	1782	1775	560	1124	658
anr26	214	377	137	204	69	103	254	254	217	68	180	87
anr27	208	297	118	141	128	154	441	441	94	24	62	32
anr28	506	673	627	435	119	210	852	852	180	56	118	75
anr31	478	808	128	432	34	31	65	65	157	72	120	45
anr32	377	448	200	262	67	121	820	820	909	301	1271	321
anr40	353	514	275	248	137	202	646	646	503	209	337	152
anr42	171	396	511	160	22	29	68	68	96	40	62	29
anr44	214	179	65	195	51	48	221	221	229	60	150	111
anr46	174	239	89	113	27	57	174	174	96	32	69	26
anr50	37	61	87	31	56	80	324	324	134	37	103	70
anr52	136	138	63	92	71	83	292	292	165	31	85	75
anr54	136	154	133	80	8	12	33	33	111	28	75	33
anra2	91	144	151	82	6	24	47	47	99	49	95	64
ans1a	194	170	75	111	37	64	184	184	307	81	189	90
antr2	79	95	69	65	145	297	1128	1128	1896	650	1642	821
anx11	565	457	354	288	454	765	1509	1509	1565	580	1093	474
anxa1	3960	3418	3317	3109	300	570	3235	3235	6162	2519	3363	1962
anxa4	1079	1687	753	611	143	92	614	614	1669	791	929	566
anxa5	436	557	647	479	142	340	683	683	754	144	405	148
anxa6	1818	1280	443	843	804	956	1341	1341	1436	463	735	351
anxa7	1082	1037	933	656	243	591	4799	4799	1026	308	765	334
anxa8	11	76	126	15	21	17	56	56	117	21	103	47
aoah	71	39	46	130	30	51	125	125	299	175	641	425
aofa	153	233	213	163	29	36	253	253	104	29	88	49
ap1ar	502	859	657	431	163	200	784	784	430	148	315	124
ap1b1	1323	1180	1160	698	409	971	3414	3414	1382	433	800	432
ap1g1	597	655	294	399	147	227	818	818	207	38	133	76
ap1g2	587	717	372	343	151	114	129	129	114	32	46	35
ap1m1	659	564	290	264	648	737	1546	1546	692	207	416	192
ap2a1	445	420	315	229	285	499	2184	2184	898	336	609	349
ap2a2	565	501	521	350	468	813	3678	3678	929	314	617	258
ap2b1	2039	1920	1333	1298	382	739	3268	3268	1917	529	1145	658
ap2m1	1747	1459	1189	987	839	1924	9138	9138	4236	1555	2636	1159
ap3b1	867	847	680	690	225	322	1685	1685	2618	991	1724	1009
ap3d1	971	1099	1223	662	420	609	1764	1764	1232	399	828	469
ap3m1	288	480	126	295	151	195	1018	1018	782	219	516	270
ap3m2	85	96	27	59	37	36	137	137	245	95	228	86
ap4at	96	101	94	56	108	99	115	115	136	46	61	30
ap4b1	350	445	189	217	78	61	131	131	97	22	49	22
ap4e1	99	93	54	74	41	66	436	436	169	43	115	62
ap4m1	116	136	52	69	82	72	181	181	947	263	325	256
ap5b1	95	104	70	41	53	114	279	279	159	56	106	60
ap5m1	179	219	109	126	40	63	241	241	65	22	38	19
ap5z1	382	408	395	230	146	162	218	218	81	29	52	34
apaf	162	110	125	100	43	47	389	389	88	26	65	40
apba1	21	12	4	14	51	63	109	109	86	16	39	47
apba3	143	119	87	51	34	78	151	151	108	40	98	28
apbb1	80	119	83	56	39	70	71	71	189	55	139	62
apbb3	373	440	216	230	180	190	486	486	209	61	98	85
apbp2	538	662	435	412	46	63	374	374	302	87	229	112
apc	572	1018	658	643	177	285	1397	1397	1310	416	788	438
apc1	2276	2990	1867	1827	433	783	3656	3656	7166	2512	4588	2675
apc4	711	1091	797	534	272	381	1449	1449	686	240	539	261
apc5	1925	2462	1941	1397	1290	1292	3481	3481	4287	1515	2648	1453
apc7	361	389	248	181	25	66	313	313	713	266	531	229
apex1	898	1443	882	745	92	196	943	943	759	223	594	285
apex2	61	62	27	35	14	24	104	104	43	13	21	17
aph1a	201	211	168	136	47	91	218	218	366	112	335	141
aph1b	287	302	242	143	150	306	718	718	1000	374	684	373
api5	2196	2722	1591	1543	380	566	3584	3584	643	213	399	248
aplf	69	94	77	81	37	51	338	338	218	82	98	84
aplp2	1079	1110	1515	852	638	1834	11840	11840	4921	2349	4695	2415
apmap	248	496	454	153	76	205	900	900	708	239	436	241
apol6	50	64	23	53	147	208	1386	1386	1387	491	951	584
aptx	187	319	183	156	247	162	457	457	95	49	84	45
aqr	654	791	604	475	287	444	1360	1360	660	177	414	214
ar13b	57	83	42	50	27	34	241	241	70	21	62	26
ar2bp	611	702	475	320	216	349	1519	1519	715	264	477	279
ar6p1	1196	1318	631	783	283	817	4832	4832	4256	1250	2248	1279
ar6p6	14	25	16	15	8	23	250	250	385	139	270	126
araf	558	508	405	267	214	194	305	305	382	134	237	98
arap1	1304	1220	636	713	406	423	807	807	2105	521	1563	855
arap2	1541	2535	1669	1582	188	245	326	326	285	46	168	113
arap3	53	104	49	30	439	368	432	432	97	35	71	36
arbk1	1932	2055	1366	1042	1022	1135	2218	2218	2720	789	1886	845
arbk2	635	515	438	303	579	562	781	781	1444	414	1077	559
arc1b	5386	4758	2959	3043	1173	2279	4836	4836	9319	2981	6089	2019
arel1	346	322	157	209	157	330	1264	1264	760	162	378	238
arf1	4048	4235	3494	2235	628	1464	4796	4796	4824	1674	4316	1754
arf3	559	490	253	316	91	177	438	438	1967	685	1146	565
arf4	2207	2845	2293	1355	454	840	3583	3583	2972	1067	2545	1044
arf6	1942	2031	1993	1106	522	928	4535	4535	2108	661	1241	586
arfg1	297	296	206	137	711	584	1143	1143	525	170	344	167
